index,text,Operations,Service,Business,Software,Electrical,Mechanical,Data Analytics
0,"""When will the driver pick up Liftbot?""",1,,,,,,
1,"""When will the driver be arriving?""",1,,,,,,
2,"""Where is the driver?""",1,,,,,,
3,"""Did the truck arrive?""",1,,,,,,
4,"""Please confirm the loading time""",1,,,,,,
5,"""When can we load the truck?""",1,,,,,,
6,"""We don't have a forklift""",1,,,,,,
7,"""Please can you confirm the collection time tomorrow?""",1,,,,,,
8,"""With regards to the delivery of the system and rails , would this be come in on a small lorry ? if this is the case the driver would need to go.""",1,,,,,,
9,"""Where can I find the inspection log for LIFTBOT""",1,1,,,,,
10,"""There is not a forklift sorry. You may need a pallet truck.""",1,,,,,,
11,"""The truck driver arrived this morning and we loaded the goods, but now the truck driver can´t leave here because he doesn't have CMR.""",1,,,,,,
12,"""Do you have an operators manual?""",1,,,,,,
13,"""Can you send me a copy of your d.o.c and an operators manual?""",1,,,,,,
14,"""does it meet all the british standards and what certification comes with it""",1,,,,,,
15,"""Please send us a risk assessment for liftbot""",1,,,,,,
16,"""Can you send us a risk assessment""",1,,,,,,
17,"""do you have a GA1 or similar document that shows the compliance of the machine to EU standards""",1,,,,,,
18,"""Do you have any information about servicing and inspections please?""",1,,,,,,
19,"""Also, should the scaffold have a design to include the liftbot?""",1,,,,,,
20,"""We will need to get a set of RAMS put together, do you have a generic set you can send us along with the load calcs for our Engineers?""",1,,,,,,
21,"""I can confirm that the training will be required on Monday 23rd May 2022.""",1,,,,,,
22,"""There will be approximately 12 people that require training (six operators and six to act as Train the Trainers). On the day it may be less, the training invites have yet to be extended.""",1,,,,,,
23,"""Can you confirm that a full training session (2 hours) will cover everything required to safely install, operate and decommission the LiftBot?""",1,,,,,,
24,"""Some time ago we bought a Kewazo-Liftbot KR1.2 from you. Now that it is to be moved to a new construction site, our colleagues there need instruction in the use of the device.""",1,,,,,,
25,"""Can you ask someone in your team to complete and return the attached documents""",1,,,,,,
26,"""Can you gives us the names of your team?""",1,,,,,,
27,"""We’ll also need the names of your Site Team, do they have CSCS cards?""",1,,,,,,
28,"""During our test-build today we’ve noticed the second transponder doesn’t work appropriately.""",,1,,,1,,
29,"""On the display only the light goes on. The text is completely missing.""",1,,,,,,
30,"""Since I’ve had the training it was possible in lowering lift again. Do you have any troubleshooting file for this device, or does the second transponder need to be switched?""",,1,,,,,
31,"""I do need an employer’s declaration for everyone""",,,1,,,,
32,"""The serial number on the liftbot does not match the serial number on the CE declaration and the previous inspection report""",1,1,,,,,
33,"""Is it possible to send a new CE declaration?""",1,1,,,,,
34,"""Do you have a video showing how the LIFTBOT is assembled from start to finish. I think it would be good to have one on the sites.""",,1,1,,,,
35,"""Just wondering if someone could come to take a look at the liftbot. At present it won’t go any further than trying to do the break test.""",,1,,,,,
36,"""as just discussed by phone, we need a briefing for the Liftbot on our construction site. The \""Kewazo Liftbot\"" will be delivered on Tuesday, 08.03.2022 (scheduled 8:00 am). Please let me know if it works out with the briefing from your side on the mentioned day.""",1,,,,,,
37,"""Your employees need a valid identification document to enter the industrial park. In addition, your employees must wear work clothes in the production facility that cover their bodies and are fire and acid resistant. They need a helmet as well as safety glasses. I have an on-site appointment at 10:00 a.m., during which I will clarify how your employees' access to the briefing will be arranged. Following this, I will let you know immediately.""",1,,,,,,
38,"""we have the elevator scheduled for use early next week. Is it feasible or do we need to plan otherwise?""",,1,,,,,
39,"""Some time ago we bought a Kewazo-Liftbot KR1.2 from you. Now that it is to be moved to a new construction site, our colleagues there need instruction in the use of the device. Can you help us here ?""",1,1,1,,,,
40,"""Hey, could you send a bolt please""",1,1,,,,,
41,"""They loaded the platform and when they swung it back the overload detection sounds.""",,1,,,,,
42,"""Liftbot looses connection from 16 meters""",,1,,1,,,
43,"""whats your current status on getting a new basket done""",,,1,,,,
44,"""Is you system intrinsically safe""",,1,1,,,,
45,"""Hi Artem""",,,1,,,,
46,"""can you give me a call?""",,,1,,,,
47,"""Hello How are you?""",,,1,,,,
48,"""What is the availablily for a new system?""",,,1,,,,
49,"""Can you let us know when we can see the system?""",,,1,,,,
50,"""please send me a video of your product""",,,1,,,,
51,"""Do you have a translation for the manual of liftbot?""",1,,1,,,,
52,"""Can you arrange a short call please?""",,1,1,,,,
53,"""We need someone to fix the robot""",1,1,,,,,
54,"""the rail is a bit bent""",,1,,,,,
55,"""The rails have bent what do we do?""",,1,,,,,
56,"""When will the truck arrive""",1,,,,,,
57,"""Robot turned off in the middle of the run completely.""",,1,,,,,
58,"""Liftbot changed from fast speed to slow speed. When it only had about 50 cm to go down, it looked like it was going to fall, but it immediately caught itself again""",,1,,1,,,
59,"""Liftbot went UP until the target position (level 3) and did not accelerate after the safe zone, but kept moving slow""",,1,,1,,,
60,"""Liftbot went up with loaded load in slow speed without changing to fast speed""",,1,,1,,,
61,"""System shows no reaction when you press any Buttons at Remote Control. Remote Control says Alles""",,1,,1,,,
62,"""Power Cut at around 11 m high""",,1,,1,,,
63,"""Liftbot stops after the second brake test""",,1,,1,,,
64,"""When Liftbot arrives on the top, gets loaded and the down button is pressed, it may not start to drive down, or just drive for one second and stops. This persists over many tries to move it down.""",,1,,1,,,
65,"""When I tried to plug in the battery to charge it, I got an electric shock""",,1,,,1,,
66,"""It happened that Liftbot had a total breakdown. This happened between 8 and 12 metres high. I had to climb out and start Liftbot again. This happened while Liftbot was on the way down. The basket was empty.""",,1,,,1,,
67,"""Liftbot had a power cut during the trip down and we had to restart Liftbot.""",,1,,,1,,
68,"""The red positive cable no longer holds properly to the battery""",,1,,,1,,
69,"""The robot cut power off completely while coming down without load""",,1,,,1,,
